lemma	gloss
causa	a cause, reason, motive, inducement, occasion, opportunity
causor	to allege as a reason, make a pretext of, plead, pretend
cauus2	
cedo1	
cera	wax
cereus2	a wax-light, taper
cerno	to separate, sift; distinguish, decide, comprehend
certamen	a decisive contest, measuring of forces, struggle, strife, dispute, dissen
certe	really, surely, assuredly, actually, certainly, as a fact
certo1	
certo?	
certus	determined, resolved, fixed, settled, purposed, certain
ceruus	
cesso	to be remiss, delay, loiter, cease from, stop, give over
ceterus	the other, remainder, rest
chorus	a dance in a ring, choral dance, dance
cicada	the cicada, tree-cricket
cicuta	hemlock (given to criminals as poison)
cingo	to go around, surround, encompass, environ, gird, wreathe, crown
cinis	ashes, esp. of a corpse
circum1	
circum2	to throw up all around
circumdo	to place around, cause to surround, set around
ciuis	
clamo	to call, cry out, shout aloud, complain aloud
claudo1	
cliuus	
coepio	to begin, commence
cogito	to consider thoroughly, ponder, weigh, reflect upon, think
cognosco	to become acquainted with, acquire knowledge of, ascertain, learn, perceive, understand ; perf., to know
cogo	to collect, crowd, bring together; to force, compel
colligo3	
collis	an elevation, high ground, hill
collum	the neck
colo2	
colocasium	an Egyptian bean, marsh-lily
colonus1	
color	color, hue, tint
columba	a dove, pigeon
commaculo	to spot, stain, pollute, defile
compello	to drive together, urge, compel
compello2	to accost, address
compingo1	
complector	to clasp, embrace, grasp
compono	to bring together, place together, collect, unite, join, connect, aggregate
concedo1	
concors	of the same mind, united, agreeing, concordant, harmonious
concresco	to grow together, harden, condense, curdle, stiffen, congeal
concubitus	a lying together, concubinage
condo	to put together, make by joining, found, establish, build, settle
congero2	
coniunctus	connected
coniungo	to fasten together, connect, join, unite, gather
coniux	
connitor2	
consero3	
consido	to sit down, take seats, be seated, settle
consul	a consul
consulo	to meet and consider, reflect, deliberate, take counsel, consult, take care, have regard, look out, be mindful
consumo	to use up, eat, devour
contagium	infection, contagion, taint
contendo	to stretch, bend, draw tight, strain
contingo1	
contra1	
contundo	to beat, bruise, grind, crush, pound, break to pieces
conuenio	
conuexus	
conuiuium	
copia	an abundance, ample supply, plenty; (usu. pl.) troops, forces
cornix	a crow
cornu	a horn, antler
corpus	a body
corripio	to seize, snatch up, grasp, collect, take hold of, arrest
cortex	the bark, rind, shell, hull
corylus	a hazel-tree, filberttree
corymbus	a cluster of ivyberries, cluster, garland
cotes	a pointed rock, crag (see cautes)
cothurnus	a high Grecian shoe
cras2	
cratera	a mixing-vessel, winebowl, punch - bowl
credo	to trust, to believe, to lend
credulus	that easily believes, credulous, easy of belief, confiding, unsuspecting
cresco	to come into being, spring up
crinis	the hair, hair of the head
croceus	of saffron, saffron-colored, yellow, golden
crudelis	rude, unfeeling, hard, unmerciful, hard - hearted, cruel, severe, fierce
cubile	a place of rest, couch, bed
cuius1	
culmen	the top, summit, roof, gable
cultus1	
cum	with, together with, in the company of, in connection with, along with, together, and
cum2	when, at the time when; although, since
cum3	
cunabula	a cradle
cupio	to long for, desire, wish
cupressus	the cypress (an evergreen tree, sacred to Pluto)
cur	why? wherefore? for what reason?
cura	trouble, care, attention, pains, industry, diligence, exertion
curo	to care for, take pains with, be solicitous for, look to, attend to, regard
curro	to run, move quickly, hasten
currus	a chariot, car, wain, wagon
cursus	a running, course, way, march, passage, voyage, journey
curuus	
custos	a guard, watch, preserver, keeper, overseer, protector, defender, attendant
cycnus	the swan
cytisus	a kind of clover, shrubby clover
dama	a slave’s name
damno	to adjudge guilty, condemn, convict
daps	a solemn feast, sacrificial feast
de	
dea	a goddess
debeo	to withhold, keep back; owe; ought
decedo1	
decem	ten
decipio	to catch, ensnare, entrap, beguile, elude, deceive, cheat
decurro	to run down, hasten down, run, hasten
decus	grace, glory, honor, dignity, splendor, beauty
deduco	to lead  away, draw out, turn aside, divert, bring out, remove, drive off, draw down
deerro2	
defendo	to ward off, repel, avert, keep off
defero	to bring away, carry off, take down, carry, take,  remove
defio	to run out, be wanting (passive of deficio)
deinde	then, next, thereafter, thence
delabor2	
delicia1	
deligo3	
delphin	
demens	out of  one’s senses, insane, demented, mad, raving, foolish, distracted
dementia	insanity, madness, distraction, folly
demitto	to send down, let down, drop, lower, put down, let fall,  sink
denique	and thenceforward, and thereafter, at last, at length, finally, lastly, only,          not until
densus	thick,  close, compact, dense, crowded
depascor	to eat up, feed on, consume
depello	to drive out, drive away, remove, expel, put out, put  off, turn aside
depono	to lay  away, put aside, set down, lay, place, set, deposit
descendo	to climb down, come down, descend, fall, sink
describo	to copy off,  transcribe, write out, write down
desero2	to leave, forsake, abandon, desert, give up
desero?	
desino	to leave off, give over, cease, desist, forbear
despicio	to look down upon
destituo	to set down, set forth, put away, bring forward, leave alone
desum1	
detexo	to weave, plait
detineo	to hold off, keep back, detain, check
deus	a god, deity
dextera	the right hand
dico2	to say, speak, utter, tell, mention, relate, affirm, declare, state,          assert
dies	a day, civil day
diffundo2	
dignor	to deem worthy, honor, deign, condescend
dignus	worthy, deserving, meritorious, deserved, suitable, fitting, becoming,      proper
discedo1	
discludo	to keep apart, divide, shut off
disco	to learn, learn to know, acquire, become acquainted with
discordia	disunion, disagreement, dissension, variance, discord
dispar	unlike, dissimilar, different, unequal, ill-matched
disperdo	to spoil, ruin
distendo	to stretch asunder, stretch out, extend
diua	
diuersus	
diues	
diuido	
diuinus2	
diuus	
diuus1	
do	to hand over, deliver, give up, render, furnish, pay, surrender
doceo	to cause to know, make aware, teach, instruct, inform, show, prove, convince,          tell
doleo	to feel pain, suffer, be in pain, ache
dolus	a device, artifice, contrivance
dominus	a master, possessor, ruler, lord, proprietor, owner
domus	a house, dwelling-house, building, mansion, palace
donec	as long as, while
dono	To give as a present, present, bestow, grant, vouchsafe, confer
donum	a gift, present
duco	to lead, conduct, guide, direct, draw, bring, fetch, escort
dulcis	sweet
dum	a while, now, yet
dum2	while, whilst, at the time that, during the time in which, where
dumosus	full of thorn-bushes, bushy
duo	two
duplico	to double, multiply by two, repeat
duresco	to grow hard, harden
duro	to make hard, harden, solidify
durus	hard (to  the touch)
dux	a leader, conductor, guide
ebulum	Dane-wort, dwarf-elder
ecce	lo! see! behold! there! look!
ecquis	Direct, Is there any one? any? any one? anybody?  anything?
edisco	to learn thoroughly, learn by heart, commit to memory
edo1	
effero2	to make wild, make savage, barbarize, brutalize
efficio	to make out, work out, bring to pass, bring about, effect, cause, produce, make,          form, execute, finish, complete, accomplish
effigies	a copy, imitation, counterpart, likeness, semblance, effigy
effugio	to flee away, get away, escape
ego	I, me, we, us
electrum	
en	interj., calling attention, or expressing  surprise or indignation, lo! behold! see! there!
enim2	
eo1	
equidem	verily, truly, indeed, at all events
equus	a horse, steed, charger
ergo2	
erigo	to raise up, lift, set up, erect, elevate
errabundus	wandering about, vagrant, at random
erro2	a wanderer, vagabond
error	a wandering, straying, strolling
erubesco	to grow red, redden
eruum	
et2	
etiam	now too, yet, as yet, even yet, still, even now
euincio	to bind fast, tie up, fetter, clamp
ex	out of, from within
examen	a multitude flying out, swarm
excio	to bring out; to rouse
excipio	To take out, withdraw
exeo1	
exitium	destruction, ruin, hurt, mischief
exordium	the warp of a web, beginning, introduction (of speech)
experior	to try, prove, test, experience, endure
exspecto	to look out for, await, wait for
exstinguo	to put out, quench, extinguish
exsul	a banished person, wanderer, exile
exter	on the outside, outward, of another country, foreign, strange
exuuiae	
facilis	easy to do, easy, without difficulty
facio	to make, construct, fashion, frame, build, erect, produce, compose
factum	a deed, act, exploit, achievement
faginus	of beech, beechen
fagus	a beech-tree
fallax	deceitful, deceptive, fallacious
fallo	deceive, trick, cheat; escape notice; pass. to be mistaken
falsus	deceptive, feigned, spurious, deceitful, false, pretended, delusive,      unfounded
falx	a curved blade, pruningknife, pruning-hook
fama	a report, rumor, saying, talk, tradition
fascino	to enchant, bewitch, fascinate
fascis	a bundle, fagot, fascine, packet, parcel
fastidio	to feel disgust, shrink, flinch, loathe, dislike, despise
fastidium	nausea, squeamishness, loathing, distaste, aversion
fateor	to confess, own, grant, acknowledge
fatum	an utterance, prophetic declaration, oracle, prediction; death
faueo	
fax	a torch, firebrand, flambeau, link
felix	fruitful, productive
fera	a wild beast, wild animal
ferio	to strike, smite, beat, knock, cut, thrust, hit
fero	to bear, carry, support, lift, hold, take up; to report, tell
ferreus	made of iron, iron
ferula	a reed, whip, rod, ferule, staff
ferus2	
fessus	wearied, tired, fatigued, exhausted, worn out, weak, feeble, infirm
fetura	a bringing forth, bearing, breeding
fetus1	
fetus2	a bringing forth, bearing, hatching, producing
figo	to fix, fasten, drive, thrust in, attach, affix, post, erect, set up
fingo	to form, fashion, make; to touch (rare)
finis	that which divides, a boundary, limit, border
fio	pass. of facio; happen, be done; become
firmo	to make firm, strengthen, fortify, sustain
fiscella	a small woven basket
fistula	a pipe, tube, water-pipe
flamma	a blazing fire, blaze, flame
flauesco	
fleo	to weep, cry, shed tears, lament, wail
florens	blooming, flowering, in bloom
floreo	to bloom, blossom, flower
flos	a blossom, flower
fluctus	a flood, flow, tide, wave, billow, surge
flumen	a flowing, flood, stream, running water
fluo	to flow, stream
fluuius	
focus	a fire-place, hearth
folium	a leaf
fons	a spring, fountain, well, source
foras	out through the doors, out of doors, forth, out
forma	a form, contour, figure, shape, appearance, looks
formido1	
formosus	finely formed, beautiful, handsome
forsitan	perhaps, peradventure, it may be that
forte	by chance, by accident, casually, accidentally
fortunatus	prospered, prosperous, lucky, happy, fortunate
foueo	
fraga	
fragilis	easily broken, brittle, fragile
frango	to break in pieces, dash to pieces, shiver, shatter, fracture
fraus	a cheating, deceit, imposition, fraud
fraxinus	ash tree; ashen spear
fretum	a strait, sound, channel
frigidus	cold, cool, chill, chilling
frigus	cold, coldness, coolness, chilliness
frondator	one who strips off leaves, a dresser, pruner
frondeo	to put forth leaves, be in leaf, become green
frondosus	full of leaves, leafy
frons1	
frons2	the forehead, brow, front
frustra	(in deception, in error); in vain
frux	fruit, produce, pulse, legumes
fugio	to flee, fly, take flight, run away, make off
fulcio	to prop up, keep up by props, stay, support
fuligo	soot
fumo	to smoke, steam, reek, fume
fundo2	to lay the bottom, make a foundation, found, begin
fundo?	
funus	a funeral procession, funeral rites, burial, funeral
fur	a thief
furor1	
furtum	theft, robbery
fuscus	dark, swarthy, dusky, tawny
fusus1	
futurus	going to be, yet to be, to come, future
gaudeo	to rejoice, be glad, be joyful, take pleasure, be pleased, delight
gelidus	icy cold, very cold, icy, frosty
gemellus2	
gemma	a bud, eye, gem
gemo	to sigh, groan, lament
gens	a race, clan, house
genus1	
glacies	ice
glans	an acorn, nut
gracilis	thin, slight, slender, slim, meagre, lean
gramen	grass
grandis	full-grown, large, great, full, abundant
gratus	beloved, dear, acceptable, pleasing, agreeable
grauis	
grex	a flock, herd, drove, swarm
gryps	a griffin (a  fabulous four-legged bird)
gurges	a raging abyss, whirlpool, gulf
habeo	to have, hold, support, carry, wear
habito	to dwell, abide, reside, live
hac	this way, on this side, here
haedus	a young goat, kid
haereo	to hang, stick, cleave, cling, adhere, hold fast, be fixed, sit fast, remain          close
hamadryas	a  woodnymph, hamadryad, dryad
hasta	a staff, rod, pole
hedera	ivy, ivy-vine
herba	an herb, grass, green blades, herbage, turf
heros	A hero, illustrious man
hesternus	of yesterday, yesterday’s
heu	interj., of grief or pain, oh! ah! alas!
hibernus	of winter, wintry, winter-
hibisco	
hibiscum	the  marsh-mallow
hic1	
hic2	in this place, here
hiems	the winter, winter time, rainy season
hilaro	to make cheerful, cheer, gladden, exhilarate
hinc	from this place, hence
hircus	a he-goat, buck
hirsutus	rough, shaggy, bristly, prickly, hirsute
hodie	to-day
homo	a human being, man, person
honor	honor, (public honor) office, (mark of honor) gift, reward
hora	an hour (one  twelfth of the day between sunrise and sunset)
hordeum	barley
horridus	standing on end, rough, shaggy, bristly, prickly
hortus	a garden, pleasure-garden
hostis	a stranger, foreigner, enemy
huc	to this place, hither
humilis	low, lowly, small, slight
humor	
humus	the earth, ground, soil
hyacinthus	the  hyacinth, blue iris
iaceo	to lie, be recumbent, be prostrate, lie at rest
iacio	to throw, cast, fling, hurl
iacto	to throw, cast, hurl
iam	I. Of time, at the moment, at the present moment, now, at this time, just now, at present
ibi	in that place, there
idem	the same
igitur	then, therefore, thereupon, accordingly, consequently
ignarus	ignorant, not knowing, unacquainted with, unskilled in, inexperienced, unaware
ignis	fire
ignobilis	unknown, unrenowned, undistinguished, obscure
ilex	an oak, holm-oak, great scarlet oak
ilia	the abdomen below the ribs, groin, flanks
ille	that
imago	an imitation, copy, image, representation, likeness, statue, bust, picture
imber	a rain, heavy rain, violent rain, shower, pouring rain
imbuo	to wet, moisten, soak, steep, saturate
imitor	to imitate, act like, copy after, seek to resemble, counterfeit, mimic
immemor	unmindful, not thinking, forgetful, regardless, negligent, heedless
immineo	to project over, lean towards, hang down over, overhang, overarch
immitto	to send in, let in, throw into, admit, introduce
immo	no indeed, by no means, on the contrary, nay, in reality
impar	uneven, unequal, dissimilar
impius	of persons, irreverent, ungodly, undutiful, unpatriotic, abandoned, wicked, impious
impleo	to fill up, fill full, make full, fill
improbus	not good, bad, wicked, reprobate, abandoned, vile, base, impious, bold, shameless, wanton
in	into, to
inane	an empty space, void, open space
inanis	empty, void
incendo	to set fire to, kindle, burn
incertus	Of things, not fixed, unsettled, undetermined
incido1	
incido2	to cut into, cut through, cut open, cut away
incipio	to take hold, take in hand, begin
inconditus	without order, irregular, disordered
incrementum	growth, increase, augmentation
incultus	untilled, uncultivated
incumbo	to lay oneself, lean, press, support oneself
indigeo	to need, want, stand in need of, demand, require
indignus	unworthy, undeserving, unfit
indoctus	untaught, unlearned, uninstructed, ignorant, unskilful
induco	to lead in, bring in, introduce, conduct, lead up, bring forward
ineo1	
iners	without skill, unskilful, incompetent
infelix	unlucky, unfruitful, not fertile, barren
inferus	below, beneath, underneath, lower
infindo	to cut into, cleave
inflo	to blow into, blow, inflate, swell
informis	without form, unformed, shapeless
ingemisco	to utter a groan, heave a sigh, groan over
ingratus	unpleasant, disagreeable, unacceptable
inguen	the groin
inicio	to throw in, put in, hurl upon, put on, cast on, set into
iniussus2	without command
iniustus	unreasonable, unsuitable, oppressive, excessive, improper, severe, burdensome
inquio	
insanio	to be of unsound mind, be senseless, be without reason, be mad, rave
insanus	of unsound mind, mad, insane
inscribo	to write upon, inscribe
insero3	
insidiae	a snare, trap
instituo	to put in place, plant, fix, set
insto	to stand upon, take a position; draw near, threaten, insist
insuetus	
integer	untouched
inter	between, betwixt
interea	meanwhile, in the meantime, in the interim
interitus	
intermisceo	to mix among, intermix, mingle
intexo	to weave in, inweave, interweave, plait, join together, interlace, surround, envelop
intonsus	unshorn, unshaven, with long hair, bearded
inuenio	
inuideo	
inuidia	
inuitus	
ipse	Self
ira	anger, wrath, rage, ire, passion, indignation
irritus	undecided, unsettled, invalid, void, of no effect
is	he, she, it, the one mentioned
iste	this, that, he, she
iterum	again, a second time, once more, anew
iubeo	to order, give an order, bid, tell, command
iudex	a judge, juror
iudicium	a judgment, judicial investigation, trial, legal process, sentence
iugum	a yoke, collar; juger of land, mountain ridge
iuncus	a rush
iungo	to join together, unite, connect, attach, fasten, yoke, harness
iuniperus	the juniper-tree
iurgium	a quarrel, strife, dispute, altercation, contention
iussum	an order, command, ordinance, law
iuuenca	
iuuencus1	
iuuenis1	
iuuo	
labellum1	
labor1	
labor2	labor, toil, exertion
labrum1	
labrusca	the wild vine
lac	milk
lacero	to tear to pieces, mangle, rend, mutilate, lacerate
lacertus1	
lacesso	to excite, provoke, challenge, exasperate, irritate
lacrima	a tear
laedo	to hurt, wound, injure, damage
laetitia	joy, exultation, rejoicing
laetor	to rejoice, feel joy, be joyful, be glad
laetus2	a foreign bondman who received a piece of land to cultivate
laeuus	
lana	spin wool
lanugo	woolly substance, down
lapis	a stone
lasciuus	
lateo	to lurk, lie hid, be concealed, escape notice, skulk
latro2	a mercenary soldier (archaic); bandit, robber
latus1	
laudo	to praise, laud, commend, honor, extol, eulogize, approve
lauo1	
laurea	the laurel-tree
laurus	a bay-tree, laurel-tree, laurel (sacred to Apollo)
laus	praise, commendation, glory, fame, renown, esteem
leaena	a lioness
lector	a reader
lego2	to bring together, gather, collect; to read
lego?	
lentus	pliant, flexible, tough, tenacious, sticky, viscous
leo	
leuis1	
leuo1	
liber2	child
libertas	freedom, liberty, absence of restraint, permission
libet	it pleases, is pleasing, is agreeable
libo	to take out as a sample, take a little of
libum	a cake, pancake (flour, made up with milk or oil, and  baked)
licet1	
licium	a cross thread; plur., the woof
ligustrum	privet (a plant bearing grapelike clusters of white  flowers)
lilium	a lily
limen	a cross-piece, threshold, head-piece, lintel, sill
limes	a path, passage, road, way, track
limosus	full of mud, slimy, miry, muddy
limus1	
lingua	the tongue
linquo	to go away, leave, quit, forsake, depart from
liquesco	to become fluid, melt, liquefy
liquidus	flowing, fluid, liquid
lis	a strife, dispute, quarrel, altercation
litus	
locus	a place, spot
lolium	darnel, cockle, tares
longus	long, extended
loquor	to speak, talk, say, tell, mention, utter
lucesco	to begin to shine
lucus	a sacred grove, consecrated wood, park surrounding a temple
ludo	to play, play at a game
ludus	a play, game, diversion
lupus	a wolf
lustro2	a wanderer, vagabond
luteolus	yellowish
lutum1	
lux	light, brightness
lynx	a lynx
macer	lean, meagre, thin, emaciated
maestus	full of sadness, sad, sorrowful, dejected, melancholy, gloomy, despondent
magicus	of magic,  magical
magis2	a plate, dish
magister	a master, chief, head, superior, director, president, leader, commander,          conductor
magnus	large, great, big, high, tall, long, broad, extensive, spacious
malo	to choose rather, prefer
malum1	
malum2	an apple
malus1	
malus2	an      apple-tree
malus3	an upright pole, beam, mast
mando2	to chew, masticate
maneo	to stay, remain, abide, tarry
manus1	
mare	the sea
marinus	of the sea, sea-, marine
maritus1	
marmor	marble, a  block of marble
marmoreus	made of  marble, marble
masculus	male, masculine
mater	a mother
maturus	ripe, mature
medeor	to heal, cure, remedy, be good for
medicina	the healing art, medicine, surgery
meditor	to reflect, muse, consider, meditate, give attention
medium	the middle, midst, centre, interval, intervening space
